"article_id","infraction_desc","categorie_vehicule","amende_min_dh","amende_max_dh","points_retrait","peine_prison","recidive_prevue","suspension_permis","immobilisation_vehicule","interdiction_conduire","mots_cles","role_paragraphe_regles","cluster_thematique_ml","cluster_id","texte_apercu"
"15","يجب على الطبيب الذي عاين الاصابة بالمرض او العجز ان يخبر فورا الادارة التي تقوم في اجل","non_spécifié","","","","","non","non","non","non","accident","obligation","permis_conduite","6","علاوة على الفحوص الطبية المنصوص عليها في المادتين 12  و 14  أعلاه: 1  - يخضع لفحص طبي كل شخص حاصل على رخصة سياقة أصيب بمرض أو بعجز منصوص عليه في قائمة تضعها الإدارة، بعد استشارة المجلس الوطني لهيئة ال"
"16","تجرى الفحوص الطبية الاجبارية المفروضة بموجب هذا القانون من قبل اطباء من القطاع العام
او من القطاع الخاص يستوفون الشروط المنصوص عليها في","non_spécifié","","","","","non","non","non","non","","autre","permis_conduite","6","تجرى الفحوص الطبية الإجبارية المفروضة بموجب هذا القانون من قبل أطباء من القطاع العام أو من القطاع الخاص يستوفون الشروط المنصوص عليها في"
"21","بعده. ويقوم عند الاقتضاء
باجراء الفحص متخصص او متخصصون حسب طبيعة الفحص اللازم اجراوه.
8 الامانة العامة للحكومة
الصادر بتنفيذه الظهير الشريف رقم (نسخت وعوضت بموجب المادة الثانية من القانون رقم 5879 2016 11
الامانة العامة للحكومة","non_spécifié","","","","","non","non","non","non","","autre","cluster_0","0","بعده. ويقوم عند الاقتضاء بإجراء الفحص متخصص أو متخصصون حسب طبيعة الفحص اللازم إجراؤه. 8 الأمانة العامة للحكومة الصادر بتنفيذه الظهير الشريف رقم (نسخت وعوضت بموجب المادة الثانية من القانون رقم 5879 201"
"17","116.14 1.16.106 بتاريخ
13 من شوال 1437 ( 18 يوليو 2016 )، ج.ر عدد 6490 بتاريخ 7 ذي القعدة 1437 ( اغسطس : )، ص )
يسلم الطبيب الذي قام بالفحص الطبي وفق احكام المادتين 12 و 14 اعلاه، شهادة الى المعني بالامر
للادلاء بها الى الادارة المختصة، تثبت انه قادر على السياقة، او قادر على السياقة مع مراعاة التقيي","non_spécifié","","","","","non","non","non","non","","autre","cluster_7","7","116.14 1.16.106  بتاريخ 13  من شوال 1437  (  18  يوليو 2016  )، ج.ر عدد 6490  بتاريخ 7  ذي القعدة 1437 (   أغسطس  : )، ص ) يسلم الطبيب الذي قام بالفحص الطبي وفق أحكام المادتين 12  و 14  أعلاه، شهادة إ"
"18","بعده، او انه غير قادر على السياقة.
تحتفظ الادارة بنسخة من شهادة الفحص الطبي لتحيين المعطيات المتعلقة برخصة السياقة في
الجذاذية الوطنية لرخصة السياقة وتعيد الشهادة الاصلية الى المعني بالامر قصد الادلاء بها لاعوان
المراقبة كلما طلب منه ذلك كاثبات لخضوعه لهذا الفحص، ما لم يتم وضع نظام الي يسمح للاعوان
","non_spécifié","","","","","non","non","non","non","permis","procédure","permis_conduite","6","بعده، أو أنه غير قادر على السياقة. تحتفظ الإدارة بنسخة من شهادة الفحص الطبي لتحيين المعطيات المتعلقة برخصة السياقة في الجذاذية الوطنية لرخصة السياقة وتعيد الشهادة الأصلية إلى المعني بالأمر قصد الإدلاء"
"18","116.14 1.16.106 بتاريخ 13 من
شوال 1437 ( 18 يوليو 2016 )، ج.ر عدد 6490 بتاريخ 7 ذي القعدة 1437 ( اغسطس : )، ص )
يوجه الطبيب الذي قام بالفحص الطبي، طبقا لاحكام","non_spécifié","","","","","non","non","non","non","","autre","cluster_7","7","116.14 1.16.106  بتاريخ 13  من شوال 1437 (  18  يوليو 2016 )، ج.ر عدد 6490  بتاريخ 7  ذي القعدة 1437 (   أغسطس  : )، ص ) يوجه الطبيب الذي قام بالفحص الطبي، طبقا لأحكام"
"15","اعلاه، الى الادارة المختصة، نسخة
من الشهادة التي سلمها للمعني بالامر والتي تثبت :
1 - اما انه يمكن لصاحب رخصة السياقة الاستمرار في استعمال رخصته، شريطة الخضوع، ان
ضى الحال، لفحص طبي تكميلي يحدد الطبيب تاريخ اجرايه ؛ � اقت
2 - واما انه يجوز لصاحب رخصة السياقة الاستمرار في استعمال رخصته، لكن مع مراعاة","tous_vehicules","","","","","non","oui","non","non","permis","autre","cluster_0","0","أعلاه، إلى الإدارة  المختصة، نسخة من الشهادة التي سلمها للمعني بالأمر والتي تثبت : 1  - إما أنه يمكن لصاحب رخصة السياقة الاستمرار في استعمال رخصته، شريطة الخضوع، إن ضى الحال، لفحص طبي تكميلي يحدد الطب"
"19","اذا نازع صاحب رخصة السياقة او الادارة في استنتاجات الطبيب المضمنة في الشهادة الطبية،
يخضع المعني بالامر، بطلب منه او بطلب من الادارة، لفحص طبي مضاد تجريه لجنة طبية للاستيناف
تتكون وفق احكام","non_spécifié","","","","","non","non","non","non","permis","procédure","permis_conduite","6","إذا نازع صاحب رخصة السياقة أو الإدارة في استنتاجات الطبيب المضمنة في الشهادة الطبية، يخضع المعني بالأمر، بطلب منه أو بطلب من الإدارة، لفحص طبي مضاد تجريه لجنة طبية للاستئناف تتكون وفق أحكام"
"21","لا يجوز للطبيب الذي قام باجراء الفحص الطبي موضوع الاستيناف ان يكون عضوا في اللجنة","non_spécifié","","","","","non","non","non","non","","interdiction","permis_conduite","6","بعده. لا يجوز للطبيب الذي قام بإجراء الفحص الطبي موضوع الاستئناف أن يكون عضوا في اللجنة الطبية للاستئناف."
"20","اذا نازع صاحب رخصة السياقة او الادارة في استنتاجات اللجنة الطبية للاستيناف، يخضع المعني
بالامر، بطلب منه او بطلب من الادارة، لفحص طبي مضاد يجريه طبيب خبير يعين بامر من رييس
المحكمة الابتدايية التابع لدايرة نفوذها المكان الذي يقيم فيه صاحب الرخصة.
يتم تقديم الطلب والبت فيه وفق الشكليات المنصوص عليها ","non_spécifié","","","","","non","non","non","non","permis","procédure","permis_conduite","6","إذا نازع صاحب رخصة السياقة أو الإدارة في استنتاجات اللجنة الطبية للاستئناف، يخضع المعني بالأمر، بطلب منه أو بطلب من الإدارة، لفحص طبي مضاد يجريه طبيب خبير يعين بأمر من رئيس المحكمة الابتدائية التابع ل"
